"","YHOO","GOOG","MSFT"
"436","44.455","775.24","57.3701"
"437","44.45","775.62","57.39"
"438","44.48","775.53","57.325"
"439","44.45","775.261","57.31"
"440","44.43","775.5","57.315"
"441","44.38","775.18","57.3299"
"442","44.38","774.95","57.335"
"443","44.34","774.64","57.36"
"444","44.36","774.79","57.291"
"445","44.3299","774.12","57.23"
"446","44.3844","774.46","57.285"
"447","44.31","774.38","57.27"
"448","44.28","773.84","57.225"
"449","44.3","774.42","57.24"
"450","44.33","774.8","57.315"
"451","44.34","774.72","57.29"
"452","44.31","774.59","57.325"
"453","44.305","773.8","57.29"
"454","44.34","773.9","57.3"
"455","44.37","775.15","57.32"
"456","44.33","774.86","57.295"
"457","44.315","775.15","57.28"
"458","44.3043","775.015","57.27"
"459","44.3744","775.58","57.309"
"460","44.37","775.43","57.32"
"461","44.36","775.27","57.3437"
"462","44.364","775.63","57.3969"
"463","44.3444","775.5","57.39"
"464","44.37","775.8","57.42"
"465","44.41","776.22","57.49"
"466","44.4","776.13","57.465"
"467","44.3999","775.912","57.46"
"468","44.37","776.113","57.445"
"469","44.3599","776.25","57.43"
"470","44.355","776.65","57.4534"
"471","44.375","776.81","57.47"
"472","44.375","776.22","57.475"
"473","44.34","775.425","57.45"
"474","44.36","775.32","57.43"
"475","43.85","770.13","56.76"
"476","43.985","770.8102","57"
"477","44.04","771.1","56.95"
"478","44.07","770.44","57.13"
"479","43.97","769.65","57.11"
"480","43.81","770.27","57.13"
"481","43.84","771.3099","57.28"
"482","43.8034","770.6","57.3435"
"483","43.8","770.2468","57.32"
"484","43.84","771.54","57.42"
"485","43.91","771.33","57.389"
"486","43.88","771","57.43"
"487","43.84","771.13","57.38"
"488","43.87","771.5575","57.415"
"489","43.73","770.14","57.25"
"490","43.675","769.55","57.23"
"491","43.51","768.37","57.14"
"492","43.63","768.61","57.235"
"493","43.58","768.85","57.19"
"494","43.525","768.49","57.1513"
"495","43.52","768.01","57.195"
"496","43.44","767.74","57.14"
"497","43.4599","768.46","57.24"
"498","43.47","768.6801","57.24"
"499","43.48","769.05","57.24"
"500","43.43","769.02","57.23"
"501","43.4","769.61","57.18"
"502","43.33","769.633","57.09"
"503","43.325","768.62","57.09"
"504","43.27","768.43","57.02"
"505","43.25","768.41","56.986"
"506","43.2865","768.4","57.04"
"507","43.24","767.7","56.95"
"508","43.195","766.8201","56.9148"
"509","43.2","767.01","56.8848"
"510","43.22","767.26","56.93"
"511","43.22","767.53","56.91"
"512","43.14","766.5328","56.91"
"513","43.19","767.0199","56.945"
"514","43.17","766.82","56.991"
"515","43.14","765.9925","56.875"
"516","43.09","765.57","56.86"
"517","43.09","766.14","56.915"
"518","43.1","765.37","56.88"
"519","43.02","765.01","56.82"
"520","43.03","763.9594","56.8"
"521","42.99","763.5701","56.815"
"522","43","763.77","56.815"
"523","43.09","764.82","56.81"
"524","43.1","764.7","56.765"
"525","43.04","764.2","56.765"
"526","43.01","763.35","56.71"
"527","42.99","763.28","56.6947"
"528","43","763.0575","56.7"
"529","43.04","763.06","56.71"
"530","42.96","762.42","56.695"
"531","42.87","761.52","56.63"
"532","42.875","761.3901","56.5699"
"533","42.875","761.61","56.605"
"534","42.95","763.1474","56.651"
"535","43.03","763.51","56.7368"
"536","43.055","763.61","56.72"
"537","43.095","764.5","56.73"
"538","43.079","763.3391","56.63"
"539","43.03","762.53","56.505"
"540","43.035","763.11","56.58"
"541","43.08","762.959","56.66"
"542","43.04","762.22","56.62"
"543","43.1","761.94","56.55"
"544","43.1","761.54","56.52"
"545","43.135","761.65","56.68"
"546","43.13","761.96","56.675"
"547","43.11","762.18","56.69"
"548","43.0401","762.04","56.65"
"549","43.01","761.54","56.58"
"550","43.02","761.61","56.49"
"551","43.05","762.18","56.46"
"552","43.01","761.9","56.445"
"553","42.92","759.66","56.21"
"554","42.18","755.5824","55.76"
"555","42.44","760.59","55.895"
"556","42.76","761.8","56.06"
"557","42.64","760.33","56.13"
"558","42.7","759.28","56.09"
"559","42.72","760.73","56.16"
"560","42.82","760.08","56.18"
"561","42.92","761.02","56.2471"
"562","42.81","760.37","56.165"
"563","42.78","759.65","56.21"
"564","42.87","760.89","56.205"
"565","42.82","761.8675","56.34"
"566","42.91","762.58","56.41"
"567","42.9","763.09","56.46"
"568","42.9","762.98","56.34"
"569","42.96","764.705","56.34"
"570","42.95","763.48","56.335"
"571","42.91","763.64","56.33"
"572","43.03","764.77","56.395"
"573","43.1","765.95","56.49"
"574","43.15","766.84","56.445"
"575","43.12","766.27","56.375"
"576","43.16","766.54","56.36"
"577","43.215","766.735","56.39"
"578","43.2652","766.99","56.39"
"579","43.27","766.642","56.33"
"580","43.32","766.85","56.425"
"581","43.28","766.244","56.37"
"582","43.22","765.31","56.36"
"583","43.225","766","56.3965"
"584","43.21","766.08","56.435"
"585","43.14","764.96","56.36"
"586","43.12","764.5701","56.41"
"587","43.1","764.71","56.39"
"588","43.08","764.93","56.375"
"589","43.1097","764.51","56.395"
"590","43.16","765","56.425"
"591","43.12","765.01","56.44"
"592","43.12","764.72","56.449"
"593","43.15","765.17","56.46"
"594","43.21","765.73","56.515"
"595","43.3","767.1","56.67"
"596","43.27","766.6534","56.66"
"597","43.26","767.1","56.66"
"598","43.28","766.77","56.6538"
"599","43.29","766.47","56.72"
"600","43.28","766.84","56.7834"
"601","43.2","766.25","56.705"
"602","43.19","765.36","56.62"
"603","43.19","765.16","56.575"
"604","43.27","766.66","56.72"
"605","43.28","766.68","56.725"
"606","43.38","768.34","56.85"
"607","43.38","768.316","56.91"
"608","43.43","768.82","56.96"
"609","43.51","769.3482","56.9834"
"610","43.5065","769.4","56.97"
"611","43.5","769.22","57.03"
"612","43.51","769.21","57.03"
"613","43.56","769.34","57.075"
"614","43.48","768.84","57.035"
"615","43.455","768.59","57.03"
"616","43.53","769.87","57.105"
"617","43.5","769.81","57.125"
"618","43.46","769.26","57.06"
"619","43.445","769.3","57.04"
"620","43.515","769.09","57.065"
"621","43.54","769.27","57.09"
"622","43.6","769.42","57.13"
"623","43.6","768.81","57.07"
"624","43.53","768.28","57.02"
"625","43.55","769.22","57.11"
"626","43.5001","768.62","57.055"
"627","43.495","768.34","57.025"
"628","43.49","768.79","57.07"
"629","43.52","769.34","57.13"
"630","43.45","767.81","57.02"
"631","43.41","768.13","56.98"
"632","43.46","769.02","57.05"
"633","43.08","764.25","56.46"
"634","43.07","762.64","56.5"
"635","43.41","764.62","56.59"
"636","43.37","761.62","56.37"
"637","43.3","761.96","56.36"
"638","43.17","761.53","56.44"
"639","43.14","761.64","56.38"
"640","43.105","762.18","56.35"
"641","43.14","762.42","56.3"
"642","43.143","761.15","56.295"
"643","43.28","761.8","56.2634"
"644","43.27","761.78","56.28"
"645","43.27","760.56","56.33"
"646","43.29","760.9","56.4"
"647","43.28","760.46","56.409"
"648","43.28","760.23","56.395"
"649","43.22","759.97","56.31"
"650","43.14","759.28","56.22"
"651","42.9901","759.05","56.22"
"652","43.05","758.9","56.2"
"653","43.01","759.18","56.22"
"654","42.92","758.99","56.13"
"655","42.92","758.69","56.16"
"656","42.96","758.1801","56.205"
"657","42.93","757.7","56.1"
"658","43.04","758.15","56.1001"
"659","42.8801","758.12","56.165"
"660","42.94","758.5591","56.27"
"661","42.83","757.985","56.22"
"662","42.85","758.34","56.25"
"663","42.81","758.78","56.26"
"664","42.8","758.16","56.21"
"665","42.87","758.39","56.26"
"666","43.01","759.88","56.42"
"667","42.99","759.48","56.38"
"668","42.9","758.8144","56.295"
"669","42.8","758.75","56.21"
"670","42.8","758.198","56.21"
"671","42.85","757.955","56.28"
"672","42.88","758.05","56.295"
"673","42.857","757.69","56.2"
"674","42.81","758.03","56.18"
"675","42.81","757.92","56.18"
"676","42.71","757.3036","56.1"
"677","42.76","757.31","56.18"
"678","42.77","757.66","56.22"
"679","42.9","759.55","56.355"
"680","42.905","758","56.2752"
"681","43.06","759.4","56.37"
"682","42.96","758.47","56.265"
"683","43","758.78","56.345"
"684","42.98","758.41","56.25"
"685","43.05","759.14","56.34"
"686","42.93","757.9","56.22"
"687","42.955","758.11","56.29"
"688","42.92","757.93","56.3"
"689","42.95","758.56","56.355"
"690","42.93","758.565","56.38"
"691","42.89","758.09","56.285"
"692","42.87","758.43","56.28"
"693","42.8165","757.31","56.2"
"694","42.83","757.99","56.255"
"695","42.83","758.03","56.3"
"696","42.92","759.04","56.37"
"697","42.93","759.01","56.35"
"698","42.91","758.9199","56.32"
"699","42.83","757.72","56.22"
"700","42.85","757.4205","56.21"
"701","42.88","757.3","56.22"
"702","42.83","756.24","56.17"
"703","42.92","758.4","56.29"
"704","42.93","758.75","56.26"
"705","42.95","759.63","56.32"
"706","42.975","759.6","56.36"
"707","43","759.47","56.445"
"708","42.91","758.14","56.34"
"709","42.945","758.99","56.415"
"710","43.075","761.31","56.64"
"711","43.04","759.69","56.53"
