51.83,116.64,539.27,46.329,74.01,221.76
51.04,114.52,537.5,46.708,73.75,219.09
51.25,114.36,534.83,47.409,73.6,220.3
50.58,112.75,536.99,46.942,73.33,219.61
51.75,113.54,535.03,47.448,74.34,221.07
52.37,112.08,536.51,47.847,74.24,223.28
51.75,112.27,544.4,47.964,74.88,233.89
50.5,110.93,545.38,47.993,74.25,229.77
50.6,109.39,547.31,47.19,74.72,231.13
49.05,107.86,550.29,47.277,74.61,231
49.41,107.01,547.49,47.296,75,229.25
48.55,107.18,541.01,47.093,75.6,223.04
47.93,106.88,542.04,47.112,75.26,224.65
47.46,106.57,545.92,46.3,74.83,218.18
47.08,106.32,554.11,46.019,75.76,238.43
46.34,107.1,555.22,45.893,73.88,233.08
46.05,105.73,559.08,45.419,74.99,228.96
45.63,104.73,550.31,44.549,74.11,202.9
45.43,105.09,549.33,45.1,75.86,199.51
45.87,104.5,548.9,44.974,80.77,205.35
44.7,102.9,540.77,44.413,80.28,199.99
43.5,103.01,539.78,44.626,80.67,202.1
42.6,102.63,543.98,43.552,80.04,202.62
42,100.83,532.71,42.933,78.37,198.52
40.18,100.32,526.54,43.417,78.69,205.38
39.28,97.665,520.84,42.643,76.95,198.44
38.45,95.619,511.17,42.207,75.95,195.96
38.12,94.239,524.51,41.347,72.63,198.39
37.82,95.492,530.03,41.811,73.21,199.62
37.97,96.676,537.94,42.304,73.59,196.02
38.38,97.714,533.21,42.227,72.99,193.13
39.6,98.615,544.49,42.594,72.91,194.23
41.1,98.899,560.88,44.355,75.91,201.99
41.08,98.683,572.5,45.255,77.52,207.07
40.93,96.676,563.74,44.046,76.29,204.39
41.52,97.528,577.35,44.587,77.56,208.22
41.03,97.528,575.28,44.587,77.44,210.87
40.5,97.802,570.08,44.268,77.08,207
40.32,97.097,568.27,44.403,76.55,203.08
40.75,98.634,577.36,44.848,79.04,207.79
40.52,98.008,576.36,44.926,79,210.38
40.66,98.634,577.1,44.897,78.79,212.72
38.95,95.815,575.06,44.539,77.22,206.04
39.88,99.613,587.99,45.545,78.54,211.63
39.05,100.48,581.13,45.042,78.29,206.21
38.65,98.938,587.37,45.526,76.8,206.89
40.93,98.84,596.08,45.971,77.91,211.17
